2025-10-07 12:11:24 CST LOG:  database system was interrupted; last known up at 2025-10-07 10:52:52 CST
2025-10-07 12:11:27 CST LOG:  database system was not properly shut down; automatic recovery in progress
2025-10-07 12:11:27 CST LOG:  redo starts at 0/1A883A8
2025-10-07 12:11:27 CST LOG:  invalid record length at 0/1A884B0: expected at least 24, got 0
2025-10-07 12:11:27 CST LOG:  redo done at 0/1A88478 system usage: CPU: user: 0.00 s, system: 0.00 s, elapsed: 0.00 s
2025-10-07 12:11:27 CST LOG:  checkpoint starting: end-of-recovery immediate wait
2025-10-07 12:11:27 CST LOG:  checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.003 s, total=0.017 s; sync files=2, longest=0.002 s, average=0.002 s; distance=0 kB, estimate=0 kB; lsn=0/1A884B0, redo lsn=0/1A884B0
2025-10-07 17:01:22 CST ERROR:  canceling statement due to user request
2025-10-07 17:01:22 CST ERROR:  canceling statement due to user request
2025-10-07 17:01:22 CST LOG:  shutting down
2025-10-07 17:01:22 CST LOG:  checkpoint starting: shutdown immediate
2025-10-07 17:01:22 CST LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.001 s, sync=0.001 s, total=0.009 s; sync files=0, longest=0.000 s, average=0.000 s; distance=0 kB, estimate=0 kB; lsn=0/1A88560, redo lsn=0/1A88560
